Pesticide Name,URL,Allowed or prohibited,Check name,Cas Number,Carcinogen,Cas name,ADI,General human health issues,Wesslings Tests?,AGQ Tests?
Galendromus Annectens,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2235.htm,Not applicable,Galendromus annectens,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Galendromus Helveolus,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2236.htm,Not applicable,Galendromus helveolus,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Galendromus Occidentalis,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2237.htm,Not applicable,Galendromus occidentalis,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Gamma-Aminobutyric Acid,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2298.htm,Not approved,gamma-aminobutyric acid,56-12-2,-,None,None,"Toxic by ingestion, skin contact and inhalation",Not tested,Not tested
Gamma-Terpinene,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2013.htm,Approved,gamma-terpinene,99-85-4,-,None,None,No adverse health issues noted,Not tested,Not tested
Garlic Extract,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2054.htm,Approved,garlic extract,8000-78-0,Not carcinogenic,None,None,No adverse health issues identified,Not tested,Not tested
Geocoris Punctipes,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2238.htm,Not applicable,Geocoris punctipes,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Geraniol,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2374.htm,Approved,Geraniol (Ref: Mevalone 3AEY),106-24-1,Not carcinogenic,None,None,"May case gastric irritationPossible liver, heart and kidney toxicant",Not tested,Not tested
Gibberellic Acid,https://sitem.herts.ac.uk/aeru/bpdb/Reports/371.htm,Approved,gibberellic acid,77-06-5,Not carcinogenic,None,None,May cause severe injury or burns following skin contact,Not tested,Not tested
Gibberellins,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1671.htm,Approved,gibberellins,468-44-0,Not carcinogenic,None,None,No information available,Not tested,Not tested
Gliocladium Catenulatum Strain J1446,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2470.htm,Approved,Gliocladium catenulatum strain J1446,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Gliocladium Virens,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2342.htm,Not approved,Gliocladium virens,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Glyptapanteles Liparidis,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2239.htm,Not applicable,Glyptapanteles liparidis,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Goniozus Legneri,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2242.htm,Not applicable,Goniozus legneri,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Gossyplure,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1198.htm,Not approved,gossyplure (Ref: PP761),50933-33-0,-,None,None,-,Not tested,Not tested
Grandlure,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2107.htm,Not approved,grandlure (Ref: SHA 112401),11104-05-5,Not carcinogenic,None,None,No adverse human health issues identified,Not tested,Not tested
Harmonia Axyridis,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2243.htm,Not applicable,Harmonia axyridis,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Helicoverpa Armigera Nucleopolyhedrovirus,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1969.htm,Approved,Helicoverpa armigera nucleopolyhedrovirus,-,Not carcinogenic,None,None,No adverse health effects reported or known,Not tested,Not tested
Helicoverpa Zea Nucleopolyhedrovirus,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1970.htm,Not approved,Helicoverpa zea nucleopolyhedrovirus,-,Not carcinogenic,None,None,No adverse health effects reported or known,Not tested,Not tested
Heterorhabditis Bacteriophora,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1971.htm,Not applicable,Heterorhabditis bacteriophora,-,Not carcinogenic,None,None,May cause gastrointestinal problems if ingested,Not tested,Not tested
Heterorhabditis Megidis,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1972.htm,Not applicable,Heterorhabditis megidis,-,Not carcinogenic,None,None,Ingestion may cause gastrointestinal problems,Not tested,Not tested
Hippodamia Convergens,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2244.htm,Not applicable,Hippodamia convergens,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Hirsutella Thompsonii,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1973.htm,Not approved,Hirsutella thompsonii,-,Not carcinogenic,None,None,No adverse human health issues noted,Not tested,Not tested
Hyles Euphorbiae,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2245.htm,Not applicable,Hyles euphorbiae,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Hypoaspis Aculeifer,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2246.htm,Not applicable,Hypoaspis aculeifer,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Hypoaspis Miles,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2247.htm,Not applicable,Hypoaspis miles,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Hyposoter Exiguae,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2321.htm,Not applicable,Hyposoter exiguae,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Hyposoter Fugitivus,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2322.htm,Not applicable,Hyposoter fugitivus,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Indolylacetic Acid,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1106.htm,Not approved,indolylacetic acid (Ref: auxins),87-51-4,-,None,None,No serious adverse health effects noted,Not tested,Not tested
Indolylbutyric Acid,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1465.htm,Approved,indolylbutyric acid,133-32-4,-,None,None,-,Not tested,Not tested
Ipsenol,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2580.htm,Not approved,ipsenol,35628-05-8,Not carcinogenic,None,None,No serious adverse effects identified,Not tested,Not tested
Isaria Fumerosa Apopka Strain 97,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1686.htm,Approved,Isaria fumerosa Apopka strain 97,-,Not carcinogenic,None,None,No further information available,Not tested,Not tested
Isobutyric Acid,https://sitem.herts.ac.uk/aeru/bpdb/Reports/3128.htm,Not approved,isobutyric acid,-,Not carcinogenic,None,None,May cause serious eye damageMay cause serious burns,Not tested,Not tested
Jasmone,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1382.htm,Not approved,jasmone,488-10-8,Not carcinogenic,None,None,No further information available,Not tested,Not tested
Jasmonic Acid,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2440.htm,Not approved,jasmonic acid,6894-38-8,-,None,None,May be harmful if ingested,Not tested,Not tested
Jojoba Oil,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2056.htm,Not approved,jojoba oil,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Karanjin,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2057.htm,Not applicable,karanjin,521-88-0,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Kasugamycin Hydrochloride Hydrate,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1323.htm,Not approved,kasugamycin hydrochloride hydrate,-,-,None,None,-,Not tested,Not tested
Kasugamycin,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2195.htm,Not approved,kasugamycin,"Wide variety of different crops including fruit, vegetables, oilseeds and ornamentals",-,None,None,-,Not tested,Not tested
Kieselgur,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2487.htm,Approved,kieselgur,IPM, Organic,Carcinogenic,None,None,Not tested,Not tested
Kinetin,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1628.htm,Not approved,kinetin,525-79-1,Not carcinogenic,None,None,No further information available,Not tested,Not tested
Lagenidium Giganteum,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1974.htm,Not approved,Lagenidium giganteum,-,Not carcinogenic,None,None,No adverse human health issues noted,Not tested,Not tested
Laminarin,https://sitem.herts.ac.uk/aeru/bpdb/Reports/416.htm,Approved,laminarin (Ref: H11),9008-22-4,-,None,None,No unacceptable risks to operators or other workers identified,Not tested,Not tested
Larinus Planus,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2364.htm,Not applicable,Larinus planus,-,Not carcinogenic,None,None,No evidence of adverse toxicological issues have been identified,Not tested,Not tested
L-Ascorbic Acid,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2405.htm,Approved,L-ascorbic acid,50-81-7,-,None,None,Considered safe,Not tested,Not tested
Lavandulyl Senecioate,https://sitem.herts.ac.uk/aeru/bpdb/Reports/3127.htm,Not approved - DAR under consideration,lavandulyl senecioate,23960-07-8,-,None,None,No negative impacts on human health identified,Not tested,Not tested
L-Carvone,https://sitem.herts.ac.uk/aeru/bpdb/Reports/125.htm,Approved,L-carvone (Ref: L 91105D),-,-,None,None,PPE/PPC recommended,Not tested,Not tested
Lecanicillium Lecanii,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1402.htm,Approved,Lecanicillium lecanii,67892-35-7,Not carcinogenic,None,None,Possible respiratory sensitiserMay cause localised effects in the lungs,Not tested,Not tested
Lepimectin,https://sitem.herts.ac.uk/aeru/bpdb/Reports/3036.htm,Not approved,lepimectin,171249-05-1,-,None,None,No information available,Not tested,Not tested
Leptomastix Dactylopii,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2248.htm,Not applicable,Leptomastix dactylopii,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Leucoptera Spartifoliella,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2249.htm,Not applicable,Leucoptera spartifoliella,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
L-Glutamic Acid,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2297.htm,Not approved,L-glutamic acid,56-86-0,Not carcinogenic,None,None,Regcognised by the US FDA as safe for human consumption,Not tested,Not tested
Linalool,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2150.htm,Not approved,linalool,78-70-6,Not carcinogenic,None,None,Some texts claim it is an anti-cancer agentMay cause respiratory and digestive tract irritation,Not tested,Not tested
Lineatin,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2103.htm,Not approved,lineatin,71899-16-6,Not carcinogenic,None,None,No adverse human health issues identified,Not tested,Not tested
Longitarsus Jacobaeae,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2250.htm,Not applicable,Longitarsus jacobaeae,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Looplure,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2119.htm,Not approved,looplure (Ref: ENT 33266),14959-86-5,Not carcinogenic,None,None,No adverse human health issues identified,Not tested,Not tested
Lydella Thompsoni,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2251.htm,Not applicable,Lydella thompsoni,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Lymantria Dispar Nucleopolyhedrovirus,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1975.htm,Not approved,Lymantria dispar nucleopolyhedrovirus,-,Not carcinogenic,None,None,No adverse health effects noted,Not tested,Not tested
Lysiphlebus Testaceipes,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2252.htm,Not applicable,Lysiphlebus testaceipes,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Macleaya Extract,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2058.htm,Not approved,macleaya extract,112025-60-2,Not carcinogenic,None,None,Severe eye and nasal irritant,Not tested,Not tested
Macrocentrus Ancylivorus,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2253.htm,Not applicable,Macrocentrus ancylivorus,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Macrocentrus Iridescens,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2362.htm,Not applicable,Macrocentrus iridescens,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Macrolophus Caliginosus,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2254.htm,Not applicable,Macrolophus caliginosus,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Maize Glutens,https://sitem.herts.ac.uk/aeru/bpdb/Reports/3146.htm,Not applicable,maize glutens,66071-96-3,Not carcinogenic,None,None,Considered safe,Not tested,Not tested
Mallada Signata,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2324.htm,Not applicable,Mallada signata,-,Not carcinogenic,None,None,No further information available,Not tested,Not tested
Maltodextrin,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2379.htm,Approved,maltodextrin,"Organic, IPM",Not carcinogenic,None,None,No further information available,Not tested,Not tested
Mamestra Brassicae Nucleopolyhedrovirus,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1976.htm,Not approved,Mamestra brassicae nucleopolyhedrovirus,81181-36-4,Not carcinogenic,None,None,No adverse health effects noted,Not tested,Not tested
Mamestra Configurata Nucleopolyhedrovirus,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1977.htm,Not approved,Mamestra configurata nucleopolyhedrovirus,-,Not carcinogenic,None,None,No adverse health effects noted,Not tested,Not tested
Maple Lactone,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2059.htm,Not approved,maple lactone,80-71-7,Not carcinogenic,None,None,No adverse health issues identified,Not tested,Not tested
Matrine,https://sitem.herts.ac.uk/aeru/bpdb/Reports/3135.htm,Not approved,matrine,519-02-8,Not carcinogenic,None,None,Considered safeMay exhibit anti-tumour properties,Not tested,Not tested
Medlure,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2581.htm,Not approved,medlure,13929-18-5,Not carcinogenic,None,None,No serious adverse effects identified,Not tested,Not tested
Mesoseiulus Longipes,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2255.htm,Not applicable,Mesoseiulus longipes,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Metaphycus Bartletti,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2256.htm,Not applicable,Metaphycus bartletti,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Metaphycus Californicus,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2331.htm,Not applicable,Metaphycus californicus,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Metaphycus Flavus,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2257.htm,Not applicable,Metaphycus flavus,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Metaphycus Funicularis,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2333.htm,Not applicable,Metaphycus funicularis,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Metaphycus Helvolus,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2258.htm,Not applicable,Metaphycus helvolus,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Metaphycus Luteolus,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2332.htm,Not applicable,Metaphycus luteolus,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Metarhizium Anisopliae Strain F52,https://sitem.herts.ac.uk/aeru/bpdb/Reports/449.htm,Approved,Metarhizium anisopliae strain F52,-,Not carcinogenic,None,None,No reported adverse health issues noted,Not tested,Not tested
Metarhizium Anisopliae Strain Fi-1045,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1978.htm,Not approved,Metarhizium anisopliae strain FI-1045,-,Not carcinogenic,None,None,No further information available,Not tested,Not tested
Metarhizium Anisopliae Strain Fi-985,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1982.htm,Not approved,Metarhizium anisopliae strain FI-985,-,Not carcinogenic,None,None,No reported adverse health issues noted,Not tested,Not tested
Metarhizium Anisopliae Strain Icipe 30,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1979.htm,Not approved,Metarhizium anisopliae strain ICIPE 30 (Ref: ICIPE 30),-,Not carcinogenic,None,None,No reported adverse health issues noted,Not tested,Not tested
Metarhizium Anisopliae Strain Icipe 69,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1980.htm,Not approved,Metarhizium anisopliae strain ICIPE 69 (Ref: ICIPE 69),-,Not carcinogenic,None,None,No reported adverse health issues noted,Not tested,Not tested
Metarhizium Anisopliae Strain Imi 330189,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1981.htm,Not approved,Metarhizium anisopliae strain IMI 330189,-,Not carcinogenic,None,None,No reported adverse health issues noted,Not tested,Not tested
Metarhizium Flavoviride Strain F001,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1983.htm,Not approved,Metarhizium flavoviride strain F001,-,Not carcinogenic,None,None,No reported adverse health issues noted,Not tested,Not tested
Meteorus Autographae,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2305.htm,Not applicable,Meteorus autographae,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Meteorus Laphygmae,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2307.htm,Not applicable,Meteorus laphygmae,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Meteorus Pulchricornis,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2304.htm,Not applicable,Meteorus pulchricornis,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Meteorus Trachynotus,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2306.htm,Not applicable,Meteorus trachynotus,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Methyl Anthranilate,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1626.htm,Not approved,methyl anthranilate,134-20-3,Not carcinogenic,None,None,"May cause asthmatic response, some ancedotal evidence of respiratory tract damageMay cause discomfort if swallowed",Not tested,Not tested
Methylcyclohexenone,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2102.htm,Not approved,methylcyclohexenone,1193-18-6,-,None,None,No further information available,Not tested,Not tested
Methyleugenol,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2504.htm,Not applicable,methyleugenol (Ref: Ent 21040),-,-,None,None,-,Not tested,Not tested
Metschnikowia Fructicola Strain Nrrl Y-27328,https://sitem.herts.ac.uk/aeru/bpdb/Reports/3119.htm,Pending,Metschnikowia fructicola strain NRRL Y-27328,-,Not carcinogenic,None,None,A potential skin sensitizer - may cause allergic reactionsNo evidence of chronic health issues identified,Not tested,Not tested
Microctonus Aethiopoides,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2259.htm,Not applicable,Microctonus aethiopoides,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Microlarinus Lareynii,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2309.htm,Not applicable,Microlarinus lareynii,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Microlarinus Lypriformis,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2308.htm,Not applicable,Microlarinus lypriformis,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Micromus Tasmaniae,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2323.htm,Not applicable,Micromus tasmaniae,-,Not carcinogenic,None,None,No further information available,Not tested,Not tested
Microplitis Brassicae,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2315.htm,Not applicable,Microplitis brassicae,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Microplitis Plutellae,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2260.htm,Not applicable,Microplitis plutellae,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Microterys Flavus,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2368.htm,Not applicable,Microterys flavus,-,Not carcinogenic,None,None,No adverse health effects noted,Not tested,Not tested
Milbemectin,https://sitem.herts.ac.uk/aeru/bpdb/Reports/472.htm,Approved,milbemectin (Ref: SL 8601),51596-10-2,-,None,None,-,Not tested,Not tested
Milbemycin A3,https://sitem.herts.ac.uk/aeru/bpdb/Reports/903.htm,Approved,milbemycin A3,-,-,None,None,No unacceptable risks identified when using PPC/PPE,Not tested,Not tested
Milbemycin A4,https://sitem.herts.ac.uk/aeru/bpdb/Reports/904.htm,Approved,milbemycin A4,-,-,None,None,-,Not tested,Not tested
Mildiomycin,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2060.htm,Not approved,mildiomycin (Ref: AR-1F1870),67527-71-3,-,None,None,No further information available,Not tested,Not tested
Milsana,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2061.htm,Not approved,milsana (Ref: BAS 114 UBF),-,-,None,None,No further information available,Not tested,Not tested
Multistriatin,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1960.htm,Not approved,multistriatin,54815-06-4,Not carcinogenic,None,None,No adverse human health effects noted,Not tested,Not tested
Muscalure,https://sitem.herts.ac.uk/aeru/bpdb/Reports/477.htm,Not approved,muscalure,27519-02-4,Not carcinogenic,None,None,No further information available,Not tested,Not tested
Muscidifurax Raptor,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2310.htm,Not applicable,Muscidifurax raptor,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Muscidifurax Raptorellus,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2311.htm,Not applicable,Muscidifurax raptorellus,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Myristyl Acetate,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2123.htm,Not approved,myristyl acetate,638-59-5,Not carcinogenic,None,None,Slighly toxic if ingested,Not tested,Not tested
Myristyl Alcohol,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2124.htm,Approved,myristyl alcohol,Suitable for use in organic farming and for IPM where approved for use in that country,Not carcinogenic,None,None,No further information available,Not tested,Not tested
Myrothecium Verrucaria,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1984.htm,Not approved,Myrothecium verrucaria,67892-16-4,Not carcinogenic,None,None,No reported adverse health issues noted,Not tested,Not tested
Nabis Kinbergii,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2327.htm,Not applicable,Nabis kinbergii,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Natamycin,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2062.htm,Not approved,natamycin,7681-93-8,Not carcinogenic,None,None,No adverse health issues identified,Not tested,Not tested
Nemadectin,https://sitem.herts.ac.uk/aeru/bpdb/Reports/3149.htm,Not applicable,nemadectin,102130-84-7,-,None,None,Possible liver toxicant at high doses,Not tested,Not tested
Neodiprion Lecontei Nucleopolyhedrovirus,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2191.htm,Not approved,Neodiprion lecontei nucleopolyhedrovirus,-,Not carcinogenic,None,None,No adverse human health effects identified,Not tested,Not tested
Neodiprion Sertifer Nucleopolyhedrovirus,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2190.htm,Not approved,Neodiprion sertifer nucleopolyhedrovirus,-,Not carcinogenic,None,None,No adverse human health effects identified,Not tested,Not tested
Neodryinus Typhlocybae,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2261.htm,Not applicable,Neodryinus typhlocybae,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Nepetalactone,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1388.htm,Not approved,nepetalactone,490-10-8,Not carcinogenic,None,None,No further information available,Not tested,Not tested
Nerolidol,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2114.htm,Not approved,nerolidol,7212-44-4,Not carcinogenic,None,None,No adverse health issues identified,Not tested,Not tested
Nicotine,https://sitem.herts.ac.uk/aeru/bpdb/Reports/485.htm,Not approved,nicotine,54-11-5,-,None,None,-,Not tested,Not tested
Nosema Locustae,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1985.htm,Not approved,Nosema locustae (Ref: SHA 117001),-,Not carcinogenic,None,None,No adverse health effects noted,Not tested,Not tested
Nuranone,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1468.htm,Not approved,nuranone (Ref: AI3-38648),64726-91-6,Not carcinogenic,None,None,Considered to be non-toxic,Not tested,Not tested
Oberea Erythrocephala,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2262.htm,Not applicable,Oberea erythrocephala,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Ocimene,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1390.htm,Not approved,ocimene,13877-91-3,-,None,None,May damage lungs if swallowed,Not tested,Not tested
Octanal,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1387.htm,Not approved,octanal,124-13-0,-,None,None,May cause chemical conjunctivitis and corneal damageMay cause delayed pulmonary edemaMay cause gastrointestinal tract irritation,Not tested,Not tested
Octenol,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2063.htm,Not approved,octenol,3391-86-4,-,None,None,No further information available,Not tested,Not tested
Orange Oil,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2511.htm,Approved,orange oil,8028-48-6,-,None,None,Acceptable for proposed uses,Not tested,Not tested
Orgyia Pseudotsugata Nucleopolyhedrovirus,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1986.htm,Not approved,Orgyia pseudotsugata nucleopolyhedrovirus,-,Not carcinogenic,None,None,No adverse health effects noted,Not tested,Not tested
Origanum Vulgare L.,https://sitem.herts.ac.uk/aeru/bpdb/Reports/3039.htm,Not approved,Origanum vulgare L.,8007-11-2,-,None,None,May contain methyl eugenol which is known as as a genotoxic carcinogenContains thymol which may be mutagenic,Not tested,Not tested
Orius Albidipennis,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2263.htm,Not applicable,Orius albidipennis,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Orius Armatus,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2325.htm,Not applicable,Orius armatus,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Orius Insidiosus,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2264.htm,Not applicable,Orius insidiosus,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Orius Laevigatus,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2265.htm,Not applicable,Orius laevigatus,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Orius Majusculus,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2266.htm,Not applicable,Orius majusculus,-,Not carcinogenic,None,None,No adverse health effects identified,Not tested,Not tested
Oryctalure,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2096.htm,Not approved,oryctalure,56196-53-3,Not carcinogenic,None,None,No adverse human health issues identified,Not tested,Not tested
Oxypurinol,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2154.htm,Not approved,oxypurinol,2465-59-0,Not carcinogenic,None,None,Hazardous if ingestedMay cause renal damage,Not tested,Not tested
Oxytetracycline Hydrochloride,https://sitem.herts.ac.uk/aeru/bpdb/Reports/3144.htm,Not approved,oxytetracycline hydrochloride,2-58-46-0,Not carcinogenic,None,None,May cause hypersensitivity reactionsMay cause tooth discoloration,Not tested,Not tested
Oxytetracycline,https://sitem.herts.ac.uk/aeru/bpdb/Reports/503.htm,Not approved,oxytetracycline,79-57-2,Not carcinogenic,None,None,May cause hypersensitivity reactionsMay cause tooth discoloration,Not tested,Not tested
